threshold,Accuracy,F1,AUC,APCER,BPCER,ACER,TN,FP,FN,TP
0.01,0.491183879093199,0.6480836236933798,0.9590531519135708,0.0,0.957345971563981,0.4786729857819905,9,202,0,186
0.02,0.5390428211586902,0.6702702702702703,0.9590531519135708,0.0,0.8672985781990521,0.43364928909952605,28,183,0,186
0.03,0.5692695214105793,0.6850828729281768,0.9590531519135708,0.0,0.8104265402843602,0.4052132701421801,40,171,0,186
0.04,0.5994962216624685,0.7005649717514124,0.9590531519135708,0.0,0.7535545023696683,0.3767772511848341,52,159,0,186
0.05,0.6146095717884131,0.7085714285714285,0.9590531519135708,0.0,0.7251184834123223,0.36255924170616116,58,153,0,186
0.06,0.6297229219143576,0.7167630057803468,0.9590531519135708,0.0,0.6966824644549763,0.34834123222748814,64,147,0,186
0.07,0.6473551637279596,0.7265625,0.9590531519135708,0.0,0.6635071090047393,0.33175355450236965,71,140,0,186
0.08,0.6624685138539043,0.7351778656126482,0.9590531519135708,0.0,0.6350710900473934,0.3175355450236967,77,134,0,186
0.09,0.6750629722921915,0.7425149700598802,0.9590531519135708,0.0,0.6113744075829384,0.3056872037914692,82,129,0,186
0.1,0.7002518891687658,0.7576374745417516,0.9590531519135708,0.0,0.5639810426540285,0.28199052132701424,92,119,0,186
0.11,0.72544080604534,0.7733887733887734,0.9590531519135708,0.0,0.5165876777251185,0.25829383886255924,102,109,0,186
0.12,0.7329974811083123,0.7782426778242678,0.9590531519135708,0.0,0.5023696682464455,0.25118483412322273,105,106,0,186
0.13,0.7405541561712846,0.7822410147991543,0.9590531519135708,0.005376344086021506,0.4834123222748815,0.2443943331804515,109,102,1,185
0.14,0.7581863979848866,0.7939914163090128,0.9590531519135708,0.005376344086021506,0.45023696682464454,0.22780665545533302,116,95,1,185
0.15,0.7707808564231738,0.8026030368763557,0.9590531519135708,0.005376344086021506,0.4265402843601896,0.21595831422310555,121,90,1,185
