,REAL_TO_REAL,REAL_TO_SPOOF,SPOOF_TO_REAL,SPOOF_TO_SPOOF
ear_mean,-0.09216886379827935,0.34385591160781714,0.0195052100548417,0.17194452998280377
ear_std,0.27050694155132765,0.05985441249268235,-0.5255770140527276,-0.26736285844763463
ear_min,-0.256023045570465,0.32426738841559516,0.31881094680473887,0.26603744653062994
ear_max,-0.02034659080963788,0.5778484664091657,-0.2666736580501908,0.044838128445850674
blink_count,0.37246436510180264,0.2209676233412942,-0.3850193437007398,-0.12317312337393499
motion_mean,-0.06310083766522745,0.17539031430996693,-0.3222480414523718,-0.09927890476296408
motion_std,0.32980956875921025,0.9209018948291291,-0.38772769647924593,-0.2920544340306278
motion_max,0.20281363606797884,0.6720289450858072,-0.43871552143285664,-0.2173252660770174
skipped_rate,-0.1573961191812276,-0.1573961191812276,-0.1573961191812276,-0.10831998210663292
rppg_dominant_freq,0.3861905772515863,-0.0476003259973963,-0.04760032599739635,0.012642791205469033
rppg_hr_estimate,0.3861905792420924,-0.047600325237712,-0.047600325237712036,0.012642786137988395
rppg_snr,-0.04663250773380136,-0.2317903491496532,0.8835303914138226,-0.14169117981163656
rppg_signal_std,0.09128983176374228,-0.08611569486961695,-0.15015681917285825,-0.07022647146904464
rppg_skipped_rate,-0.1573961191812276,-0.1573961191812276,-0.1573961191812276,-0.10831998210663292
rppg_valid,0.16759749794978535,0.5172821910784443,-0.2986487595550933,0.19997571027651304
