case,video_id,score_spoof,target_class,frame_position,gradcam_path
real_to_real,MSU_MFSD__real_client051_android_SD_scene01,0.003616324160248,0,2,reports\gradcam_examples\final_model_mixed_multiframe\real_to_real\MSU_MFSD__real_client051_android_SD_scene01_score_0.0036_pos_2_gradcam.jpg
real_to_real,MSU_MFSD__real_client051_android_SD_scene01,0.003616324160248,0,5,reports\gradcam_examples\final_model_mixed_multiframe\real_to_real\MSU_MFSD__real_client051_android_SD_scene01_score_0.0036_pos_5_gradcam.jpg
real_to_real,MSU_MFSD__real_client051_android_SD_scene01,0.003616324160248,0,8,reports\gradcam_examples\final_model_mixed_multiframe\real_to_real\MSU_MFSD__real_client051_android_SD_scene01_score_0.0036_pos_8_gradcam.jpg
real_to_real,MSU_MFSD__real_client051_android_SD_scene01,0.003616324160248,0,11,reports\gradcam_examples\final_model_mixed_multiframe\real_to_real\MSU_MFSD__real_client051_android_SD_scene01_score_0.0036_pos_11_gradcam.jpg
real_to_real,MSU_MFSD__real_client051_android_SD_scene01,0.003616324160248,0,14,reports\gradcam_examples\final_model_mixed_multiframe\real_to_real\MSU_MFSD__real_client051_android_SD_scene01_score_0.0036_pos_14_gradcam.jpg
real_to_real,CASIA__10_2,0.0038616519887,0,2,reports\gradcam_examples\final_model_mixed_multiframe\real_to_real\CASIA__10_2_score_0.0039_pos_2_gradcam.jpg
real_to_real,CASIA__10_2,0.0038616519887,0,5,reports\gradcam_examples\final_model_mixed_multiframe\real_to_real\CASIA__10_2_score_0.0039_pos_5_gradcam.jpg
real_to_real,CASIA__10_2,0.0038616519887,0,8,reports\gradcam_examples\final_model_mixed_multiframe\real_to_real\CASIA__10_2_score_0.0039_pos_8_gradcam.jpg
real_to_real,CASIA__10_2,0.0038616519887,0,11,reports\gradcam_examples\final_model_mixed_multiframe\real_to_real\CASIA__10_2_score_0.0039_pos_11_gradcam.jpg
real_to_real,CASIA__10_2,0.0038616519887,0,14,reports\gradcam_examples\final_model_mixed_multiframe\real_to_real\CASIA__10_2_score_0.0039_pos_14_gradcam.jpg
