video_id,label,score
10_1,0,0.9444743990898132
10_2,0,0.08545007556676865
10_3,1,0.9921364784240723
10_4,1,0.9771428108215332
10_5,1,0.8683683276176453
10_6,1,0.9756649136543274
10_7,1,0.9898029565811157
10_8,1,0.9852253794670105
13_1,0,0.03564563766121864
13_2,0,0.010399948805570602
13_3,1,0.9443289041519165
13_4,1,0.988818347454071
13_5,1,0.9824328422546387
13_6,1,0.9510342478752136
13_7,1,0.987580418586731
13_8,1,0.9179562330245972
29_1,0,0.08413330465555191
29_2,0,0.011614570394158363
29_3,1,0.9897904992103577
29_4,1,0.9894039630889893
29_5,1,0.9938136339187622
29_6,1,0.991757333278656
29_7,1,0.9896332025527954
29_8,1,0.9816702604293823
