threshold,Accuracy,F1,AUC,APCER,BPCER,ACER,TN,FP,FN,TP
0.01,0.6698911729141476,0.7524932003626473,0.986846414785355,0.0,0.662621359223301,0.3313106796116505,139,273,0,415
0.02,0.7787182587666264,0.8193484698914116,0.986846414785355,0.0,0.4441747572815534,0.2220873786407767,229,183,0,415
0.03,0.8307134220072552,0.8556701030927835,0.986846414785355,0.0,0.33980582524271846,0.16990291262135923,272,140,0,415
0.04,0.8609431680773881,0.8783068783068783,0.986846414785355,0.0,0.279126213592233,0.1395631067961165,297,115,0,415
0.05,0.8742442563482467,0.8884120171673819,0.986846414785355,0.0024096385542168677,0.25,0.12620481927710844,309,103,1,414
0.06,0.8827085852478839,0.894907908992416,0.986846414785355,0.004819277108433735,0.23058252427184467,0.1177009006901392,317,95,2,413
0.07,0.8923821039903265,0.9025191675794085,0.986846414785355,0.007228915662650603,0.2087378640776699,0.10798338987016025,326,86,3,412
0.08,0.8996372430471584,0.9080841638981174,0.986846414785355,0.012048192771084338,0.18932038834951456,0.10068429056029946,334,78,5,410
0.09,0.9020556227327691,0.9096989966555183,0.986846414785355,0.016867469879518072,0.1796116504854369,0.09823956018247748,338,74,7,408
0.1,0.9068923821039904,0.9137737961926092,0.986846414785355,0.016867469879518072,0.16990291262135923,0.09338519125043865,342,70,7,408
0.11,0.9141475211608222,0.9199549041713642,0.986846414785355,0.016867469879518072,0.1553398058252427,0.08610363785238039,348,64,7,408
0.12,0.9153567110036276,0.9209932279909706,0.986846414785355,0.016867469879518072,0.1529126213592233,0.08489004561937068,349,63,7,408
0.13,0.9141475211608222,0.919774011299435,0.986846414785355,0.01927710843373494,0.1529126213592233,0.08609486489647912,349,63,8,407
0.14,0.9153567110036276,0.9206349206349206,0.986846414785355,0.021686746987951807,0.14805825242718446,0.08487249970756813,351,61,9,406
0.15,0.9177750906892382,0.9227272727272727,0.986846414785355,0.021686746987951807,0.14320388349514562,0.08244531524154872,353,59,9,406
0.16,0.9238210399032648,0.928,0.986846414785355,0.021686746987951807,0.13106796116504854,0.07637735407650018,358,54,9,406
0.17,0.9238210399032648,0.9278350515463918,0.986846414785355,0.024096385542168676,0.12864077669902912,0.0763685811205989,359,53,10,405
0.18,0.9262394195888755,0.9299655568312285,0.986846414785355,0.024096385542168676,0.12378640776699029,0.07394139665457948,361,51,10,405
0.19,0.9286577992744861,0.9321058688147296,0.986846414785355,0.024096385542168676,0.11893203883495146,0.07151421218856006,363,49,10,405
0.2,0.9310761789600968,0.9342560553633218,0.986846414785355,0.024096385542168676,0.11407766990291263,0.06908702772254065,365,47,10,405
0.21,0.9347037484885127,0.9375,0.986846414785355,0.024096385542168676,0.10679611650485436,0.06544625102351152,368,44,10,405
0.22,0.9334945586457074,0.936268829663963,0.986846414785355,0.02650602409638554,0.10679611650485436,0.06665107030061995,368,44,11,404
0.23,0.9371221281741233,0.9395348837209302,0.986846414785355,0.02650602409638554,0.09951456310679611,0.06301029360159083,371,41,11,404
0.24,0.9359129383313181,0.9383003492433062,0.986846414785355,0.02891566265060241,0.09951456310679611,0.06421511287869926,371,41,12,403
0.25,0.932285368802902,0.9345794392523364,0.986846414785355,0.03614457831325301,0.09951456310679611,0.06782957071002456,371,41,15,400
0.26,0.9310761789600968,0.9333333333333333,0.986846414785355,0.03855421686746988,0.09951456310679611,0.069034389987133,371,41,16,399
0.27,0.932285368802902,0.9344262295081968,0.986846414785355,0.03855421686746988,0.0970873786407767,0.0678207977541233,372,40,16,399
0.28,0.932285368802902,0.9342723004694836,0.986846414785355,0.04096385542168675,0.09466019417475728,0.06781202479822201,373,39,17,398
0.29,0.932285368802902,0.9342723004694836,0.986846414785355,0.04096385542168675,0.09466019417475728,0.06781202479822201,373,39,17,398
0.3,0.932285368802902,0.9342723004694836,0.986846414785355,0.04096385542168675,0.09466019417475728,0.06781202479822201,373,39,17,398
0.31,0.9383313180169287,0.9397874852420307,0.986846414785355,0.04096385542168675,0.0825242718446602,0.061744063633173474,378,34,17,398
0.32,0.9419588875453446,0.9429928741092637,0.986846414785355,0.043373493975903614,0.07281553398058252,0.05809451397824307,382,30,18,397
0.33,0.9419588875453446,0.9429928741092637,0.986846414785355,0.043373493975903614,0.07281553398058252,0.05809451397824307,382,30,18,397
0.34,0.9419588875453446,0.9428571428571428,0.986846414785355,0.04578313253012048,0.0703883495145631,0.05808574102234179,383,29,19,396
0.35,0.9419588875453446,0.9427207637231504,0.986846414785355,0.04819277108433735,0.06796116504854369,0.05807696806644052,384,28,20,395
0.36,0.9419588875453446,0.9427207637231504,0.986846414785355,0.04819277108433735,0.06796116504854369,0.05807696806644052,384,28,20,395
0.37,0.9419588875453446,0.9427207637231504,0.986846414785355,0.04819277108433735,0.06796116504854369,0.05807696806644052,384,28,20,395
0.38,0.9431680773881499,0.9438470728793309,0.986846414785355,0.04819277108433735,0.06553398058252427,0.05686337583343081,385,27,20,395
0.39,0.9419588875453446,0.9424460431654677,0.986846414785355,0.05301204819277108,0.06310679611650485,0.05805942215463797,386,26,22,393
0.4,0.939540507859734,0.9399038461538461,0.986846414785355,0.05783132530120482,0.06310679611650485,0.06046906070885484,386,26,24,391
0.41,0.939540507859734,0.9399038461538461,0.986846414785355,0.05783132530120482,0.06310679611650485,0.06046906070885484,386,26,24,391
0.42,0.939540507859734,0.9399038461538461,0.986846414785355,0.05783132530120482,0.06310679611650485,0.06046906070885484,386,26,24,391
0.43,0.9371221281741233,0.9373493975903614,0.986846414785355,0.06265060240963856,0.06310679611650485,0.06287869926307171,386,26,26,389
0.44,0.9371221281741233,0.9371980676328503,0.986846414785355,0.06506024096385542,0.06067961165048544,0.06286992630717042,387,25,27,388
0.45,0.9371221281741233,0.9371980676328503,0.986846414785355,0.06506024096385542,0.06067961165048544,0.06286992630717042,387,25,27,388
0.46,0.9359129383313181,0.9357575757575758,0.986846414785355,0.06987951807228916,0.05825242718446602,0.0640659726283776,388,24,29,386
0.47,0.9383313180169287,0.9380315917375456,0.986846414785355,0.06987951807228916,0.05339805825242718,0.06163878816235817,390,22,29,386
0.48,0.939540507859734,0.9391727493917275,0.986846414785355,0.06987951807228916,0.050970873786407765,0.06042519592934846,391,21,29,386
0.49,0.939540507859734,0.9391727493917275,0.986846414785355,0.06987951807228916,0.050970873786407765,0.06042519592934846,391,21,29,386
0.5,0.9383313180169287,0.9377289377289377,0.986846414785355,0.0746987951807229,0.04854368932038835,0.061621242250555625,392,20,31,384
0.51,0.9383313180169287,0.9377289377289377,0.986846414785355,0.0746987951807229,0.04854368932038835,0.061621242250555625,392,20,31,384
0.52,0.9383313180169287,0.9377289377289377,0.986846414785355,0.0746987951807229,0.04854368932038835,0.061621242250555625,392,20,31,384
0.53,0.9371221281741233,0.9364303178484108,0.986846414785355,0.07710843373493977,0.04854368932038835,0.06282606152766405,392,20,32,383
0.54,0.9371221281741233,0.9362745098039216,0.986846414785355,0.07951807228915662,0.04611650485436893,0.06281728857176277,393,19,33,382
0.55,0.9371221281741233,0.9361179361179361,0.986846414785355,0.0819277108433735,0.043689320388349516,0.06280851561586151,394,18,34,381
0.56,0.9359129383313181,0.9346485819975339,0.986846414785355,0.08674698795180723,0.0412621359223301,0.06400456193706866,395,17,36,379
0.57,0.9347037484885127,0.9333333333333333,0.986846414785355,0.0891566265060241,0.0412621359223301,0.0652093812141771,395,17,37,378
0.58,0.9347037484885127,0.9333333333333333,0.986846414785355,0.0891566265060241,0.0412621359223301,0.0652093812141771,395,17,37,378
0.59,0.9359129383313181,0.934487021013597,0.986846414785355,0.0891566265060241,0.038834951456310676,0.0639957889811674,396,16,37,378
0.6,0.9347037484885127,0.9330024813895782,0.986846414785355,0.09397590361445783,0.03640776699029126,0.06519183530237455,397,15,39,376
0.61,0.9334945586457074,0.9316770186335404,0.986846414785355,0.0963855421686747,0.03640776699029126,0.06639665457948299,397,15,40,375
0.62,0.9310761789600968,0.9290161892901619,0.986846414785355,0.10120481927710843,0.03640776699029126,0.06880629313369985,397,15,42,373
0.63,0.9298669891172914,0.9276807980049875,0.986846414785355,0.10361445783132531,0.03640776699029126,0.07001111241080829,397,15,43,372
0.64,0.9274486094316807,0.925,0.986846414785355,0.10843373493975904,0.03640776699029126,0.07242075096502515,397,15,45,370
0.65,0.9250302297460702,0.9223057644110275,0.986846414785355,0.11325301204819277,0.03640776699029126,0.07483038951924201,397,15,47,368
0.66,0.9250302297460702,0.9221105527638191,0.986846414785355,0.11566265060240964,0.03398058252427184,0.07482161656334074,398,14,48,367
0.67,0.9250302297460702,0.9221105527638191,0.986846414785355,0.11566265060240964,0.03398058252427184,0.07482161656334074,398,14,48,367
0.68,0.9250302297460702,0.9219143576826196,0.986846414785355,0.1180722891566265,0.03155339805825243,0.07481284360743946,399,13,49,366
0.69,0.9214026602176542,0.9178255372945638,0.986846414785355,0.12530120481927712,0.03155339805825243,0.07842730143876478,399,13,52,363
