good_accept,good_reject,medium_accept,medium_reject,low_accept,low_reject,real_accept,real_retry,real_reject,spoof_accept,spoof_retry,spoof_reject
0.3,0.7,0.25,0.75,0.2,0.8,33,6,21,1,5,54
0.3,0.7,0.25,0.75,0.2,0.85,33,6,21,1,5,54
0.3,0.7,0.25,0.75,0.2,0.9,33,6,21,1,5,54
0.3,0.7,0.25,0.75,0.25,0.8,33,6,21,1,5,54
0.3,0.7,0.25,0.75,0.25,0.85,33,6,21,1,5,54
0.3,0.7,0.25,0.75,0.25,0.9,33,6,21,1,5,54
0.3,0.7,0.25,0.75,0.3,0.8,33,6,21,1,5,54
0.3,0.7,0.25,0.75,0.3,0.85,33,6,21,1,5,54
0.3,0.7,0.25,0.75,0.3,0.9,33,6,21,1,5,54
0.3,0.7,0.25,0.8,0.2,0.8,33,6,21,1,8,51
0.3,0.7,0.25,0.8,0.2,0.85,33,6,21,1,8,51
0.3,0.7,0.25,0.8,0.2,0.9,33,6,21,1,8,51
0.3,0.7,0.25,0.8,0.25,0.8,33,6,21,1,8,51
0.3,0.7,0.25,0.8,0.25,0.85,33,6,21,1,8,51
0.3,0.7,0.25,0.8,0.25,0.9,33,6,21,1,8,51
0.3,0.7,0.25,0.8,0.3,0.8,33,6,21,1,8,51
0.3,0.7,0.25,0.8,0.3,0.85,33,6,21,1,8,51
0.3,0.7,0.25,0.8,0.3,0.9,33,6,21,1,8,51
0.3,0.7,0.25,0.85,0.2,0.8,33,7,20,1,25,34
0.3,0.7,0.25,0.85,0.2,0.85,33,7,20,1,25,34
0.3,0.7,0.25,0.85,0.2,0.9,33,7,20,1,25,34
0.3,0.7,0.25,0.85,0.25,0.8,33,7,20,1,25,34
0.3,0.7,0.25,0.85,0.25,0.85,33,7,20,1,25,34
0.3,0.7,0.25,0.85,0.25,0.9,33,7,20,1,25,34
0.3,0.7,0.25,0.85,0.3,0.8,33,7,20,1,25,34
0.3,0.7,0.25,0.85,0.3,0.85,33,7,20,1,25,34
0.3,0.7,0.25,0.85,0.3,0.9,33,7,20,1,25,34
0.3,0.7,0.3,0.75,0.2,0.8,33,6,21,1,5,54
0.3,0.7,0.3,0.75,0.2,0.85,33,6,21,1,5,54
0.3,0.7,0.3,0.75,0.2,0.9,33,6,21,1,5,54
0.3,0.7,0.3,0.75,0.25,0.8,33,6,21,1,5,54
0.3,0.7,0.3,0.75,0.25,0.85,33,6,21,1,5,54
0.3,0.7,0.3,0.75,0.25,0.9,33,6,21,1,5,54
0.3,0.7,0.3,0.75,0.3,0.8,33,6,21,1,5,54
0.3,0.7,0.3,0.75,0.3,0.85,33,6,21,1,5,54
0.3,0.7,0.3,0.75,0.3,0.9,33,6,21,1,5,54
0.3,0.7,0.3,0.8,0.2,0.8,33,6,21,1,8,51
0.3,0.7,0.3,0.8,0.2,0.85,33,6,21,1,8,51
0.3,0.7,0.3,0.8,0.2,0.9,33,6,21,1,8,51
0.3,0.7,0.3,0.8,0.25,0.8,33,6,21,1,8,51
0.3,0.7,0.3,0.8,0.25,0.85,33,6,21,1,8,51
0.3,0.7,0.3,0.8,0.25,0.9,33,6,21,1,8,51
0.3,0.7,0.3,0.8,0.3,0.8,33,6,21,1,8,51
0.3,0.7,0.3,0.8,0.3,0.85,33,6,21,1,8,51
0.3,0.7,0.3,0.8,0.3,0.9,33,6,21,1,8,51
0.3,0.7,0.3,0.85,0.2,0.8,33,7,20,1,25,34
0.3,0.7,0.3,0.85,0.2,0.85,33,7,20,1,25,34
0.3,0.7,0.3,0.85,0.2,0.9,33,7,20,1,25,34
0.3,0.7,0.3,0.85,0.25,0.8,33,7,20,1,25,34
0.3,0.7,0.3,0.85,0.25,0.85,33,7,20,1,25,34
0.3,0.7,0.3,0.85,0.25,0.9,33,7,20,1,25,34
0.3,0.7,0.3,0.85,0.3,0.8,33,7,20,1,25,34
0.3,0.7,0.3,0.85,0.3,0.85,33,7,20,1,25,34
0.3,0.7,0.3,0.85,0.3,0.9,33,7,20,1,25,34
0.3,0.7,0.35,0.75,0.2,0.8,33,6,21,1,5,54
0.3,0.7,0.35,0.75,0.2,0.85,33,6,21,1,5,54
0.3,0.7,0.35,0.75,0.2,0.9,33,6,21,1,5,54
0.3,0.7,0.35,0.75,0.25,0.8,33,6,21,1,5,54
0.3,0.7,0.35,0.75,0.25,0.85,33,6,21,1,5,54
0.3,0.7,0.35,0.75,0.25,0.9,33,6,21,1,5,54
0.3,0.7,0.35,0.75,0.3,0.8,33,6,21,1,5,54
