video_id,hard_type,found_in_train
LOCAL_REAL__p03_samsung_normal_t02.mp4,REAL_AS_SPOOF,True
LOCAL_REAL__p03_samsung_normal_t04.mp4,REAL_AS_SPOOF,True
LOCAL_REAL__p05_samsung_normal_t02.mp4,REAL_AS_SPOOF,True
MSU_MFSD__real_client026_android_SD_scene01,REAL_AS_SPOOF,True
MSU_MFSD__real_client032_android_SD_scene01,REAL_AS_SPOOF,True
MSU_MFSD__real_client033_laptop_SD_scene01,REAL_AS_SPOOF,True
MSU_MFSD__real_client034_android_SD_scene01,REAL_AS_SPOOF,True
AXON__axon_06d326f921582e,SPOOF_AS_REAL,True
AXON__axon_1441ffed87e72c,SPOOF_AS_REAL,True
AXON__axon_1c3fb5cc427d13,SPOOF_AS_REAL,True
AXON__axon_3477197b2624a7,SPOOF_AS_REAL,True
AXON__axon_5930c743871726,SPOOF_AS_REAL,True
AXON__axon_7bc25bae75075c,SPOOF_AS_REAL,True
AXON__axon_8d82e0cdc69ccd,SPOOF_AS_REAL,True
AXON__axon_ce4b28e75d0239,SPOOF_AS_REAL,True
